"","sample_1","sample_2","sample_3","sample_4","sample_5"
"ENSG00000004866",46,86,64,56,58
"ENSG00000004897",312,455,441,290,298
"ENSG00000004939",218,538,1155,1209,595
"ENSG00000004948",0,0,1,0,0
"ENSG00000004961",197,290,294,215,202
"ENSG00000004975",444,507,466,398,478
"ENSG00000005001",12,6,4,2,8
"ENSG00000005007",2546,4255,3927,2480,3507
"ENSG00000005020",962,2177,2008,1236,1190
"ENSG00000005022",1657,2031,1902,1304,1368
"ENSG00000005059",664,681,731,431,550
"ENSG00000005073",0,0,0,0,0
"ENSG00000005075",286,303,333,241,248
"ENSG00000005100",173,202,232,147,150
"ENSG00000005102",43,41,26,17,27
"ENSG00000005108",5,3,1,1,2
"ENSG00000005156",255,336,310,257,315
"ENSG00000005175",240,341,346,186,204
"ENSG00000005187",22,39,30,24,28
"ENSG00000005189",14,5,9,5,12
"ENSG00000005194",577,630,697,444,543
"ENSG00000005206",1228,1141,1110,799,1505
"ENSG00000005238",1177,2182,1718,1352,1393
"ENSG00000005243",18,13,47,16,15
"ENSG00000005249",111,363,804,212,254
"ENSG00000005302",1443,2120,1757,979,1635
"ENSG00000005339",1325,3129,2438,1358,2158
"ENSG00000005379",531,391,864,579,624
"ENSG00000005381",41,252,134,116,54
"ENSG00000005421",0,0,0,0,0
"ENSG00000005436",122,101,108,61,77
"ENSG00000005448",215,167,144,182,184
"ENSG00000005469",124,82,129,100,127
"ENSG00000005471",41,25,26,30,29
"ENSG00000005483",752,1623,1399,793,1061
"ENSG00000005486",908,1001,964,682,968
"ENSG00000005513",47,41,58,19,36
"ENSG00000005700",241,417,390,265,223
"ENSG00000005801",174,224,188,141,130
"ENSG00000005810",675,1190,1071,737,900
"ENSG00000005812",574,814,873,367,501
"ENSG00000005844",4645,7148,5843,6119,6667
"ENSG00000005882",151,203,166,133,167
"ENSG00000005884",68,79,57,49,78
"ENSG00000005889",447,474,471,265,446
"ENSG00000005893",2173,4526,4082,2058,2854
"ENSG00000005955",1407,1375,1395,895,1143
"ENSG00000005961",191,1012,2241,266,694
"ENSG00000005981",0,0,0,0,0
"ENSG00000006007",433,1038,847,521,664
"ENSG00000006015",781,428,470,309,670
"ENSG00000006016",6,2,5,2,7
"ENSG00000006025",483,474,513,494,699
"ENSG00000006042",0,0,4,0,1
"ENSG00000006047",0,2,4,0,1
"ENSG00000006062",731,1069,924,857,945
"ENSG00000006071",0,0,0,0,0
"ENSG00000006074",0,0,0,0,3
"ENSG00000006075",3,2,8,1,4
"ENSG00000006114",1795,1560,1329,1075,1228
"ENSG00000006116",0,0,0,0,0
"ENSG00000006118",2,1,2,1,5
"ENSG00000006125",1763,2565,2292,2139,2233
"ENSG00000006194",720,907,828,717,912
"ENSG00000006210",0,0,0,0,0
"ENSG00000006282",237,475,386,363,331
"ENSG00000006283",0,0,0,0,0
"ENSG00000006327",54,67,67,54,98
"ENSG00000006377",0,0,0,1,0
"ENSG00000006432",85,100,93,80,111
"ENSG00000006451",422,438,430,274,358
"ENSG00000006453",16,17,11,3,12
"ENSG00000006459",594,1312,1064,467,632
"ENSG00000006468",1,0,0,2,4
"ENSG00000006530",400,375,436,299,362
"ENSG00000006534",791,1774,965,1067,962
"ENSG00000006555",163,168,205,173,229
"ENSG00000006576",314,294,322,149,208
"ENSG00000006606",0,0,0,0,0
"ENSG00000006607",99,167,176,119,132
"ENSG00000006611",0,0,1,0,0
"ENSG00000006625",123,107,131,99,88
"ENSG00000006634",95,85,103,83,90
"ENSG00000006638",72,73,101,47,114
"ENSG00000006652",756,1388,1085,434,711
"ENSG00000006659",0,0,0,0,0
"ENSG00000006695",199,184,190,139,191
"ENSG00000006704",11,4,3,5,13
"ENSG00000006712",689,1031,903,669,919
"ENSG00000006715",606,941,905,638,619
"ENSG00000006740",16,14,9,6,5
"ENSG00000006744",696,839,733,702,763
"ENSG00000006747",2,1,0,0,0
"ENSG00000006756",215,284,229,215,192
"ENSG00000006757",91,74,66,37,60
"ENSG00000006788",0,0,0,0,0
"ENSG00000006831",639,1043,926,694,766
"ENSG00000006837",4,3,0,2,5
"ENSG00000007001",0,0,1,1,0
"ENSG00000007038",9,52,12,23,38
"ENSG00000007047",368,550,339,312,395
"ENSG00000007062",2,1,8,1,4
"ENSG00000007080",511,471,437,335,462
"ENSG00000007129",476,403,271,288,303
"ENSG00000007168",1234,1744,1623,998,1192
"ENSG00000007171",2,1,5,0,3
"ENSG00000007174",1,0,0,0,1
"ENSG00000007202",777,1583,1497,1111,1215
"ENSG00000007216",2,0,0,0,0
"ENSG00000007237",1016,3039,1579,1518,1077
"ENSG00000007255",650,457,444,376,484
"ENSG00000007264",1481,745,948,878,794
"ENSG00000007306",0,0,1,0,0
"ENSG00000007312",2280,1120,1302,1498,1672
"ENSG00000007314",11,9,6,6,16
"ENSG00000007341",64,46,43,43,52
"ENSG00000007350",99,154,146,57,102
"ENSG00000007372",22,18,27,16,12
"ENSG00000007376",468,476,436,289,517
"ENSG00000007384",4,1,1,0,2
"ENSG00000007392",965,891,897,626,924
"ENSG00000007402",98,75,96,116,106
"ENSG00000007516",227,400,278,332,226
"ENSG00000007520",466,391,426,290,373
"ENSG00000007541",665,676,583,519,675
"ENSG00000007545",266,260,245,178,196
"ENSG00000007866",3,8,2,3,8
"ENSG00000007908",3,1,1,0,3
"ENSG00000007923",234,346,293,274,263
"ENSG00000007933",0,0,0,0,1
"ENSG00000007944",882,975,1105,571,914
"ENSG00000007952",8,5,8,5,5
"ENSG00000007968",124,213,157,187,137
"ENSG00000008018",1370,1300,1415,976,1238
"ENSG00000008056",16,11,10,5,7
"ENSG00000008083",705,1591,1396,842,1026
"ENSG00000008086",2,10,6,4,7
"ENSG00000008128",15,27,21,12,29
"ENSG00000008130",4486,9741,8018,4782,5910
"ENSG00000008196",0,0,0,0,0
"ENSG00000008197",0,0,0,0,0
"ENSG00000008226",94,123,106,100,137
"ENSG00000008256",234,217,231,159,151
"ENSG00000008277",46,45,36,32,44
"ENSG00000008282",668,760,756,550,549
"ENSG00000008283",429,500,338,481,476
"ENSG00000008294",772,1577,1419,797,900
"ENSG00000008300",66,93,59,74,109
"ENSG00000008311",9,8,4,10,9
"ENSG00000008323",4,19,6,8,9
"ENSG00000008324",195,169,215,137,141
"ENSG00000008382",159,147,147,95,135
"ENSG00000008394",124,330,196,182,102
"ENSG00000008405",154,132,159,96,124
"ENSG00000008438",392,928,390,316,1077
"ENSG00000008441",67,147,167,206,167
"ENSG00000008513",1838,2524,2441,1695,2043
"ENSG00000008516",14073,12548,8123,5403,8856
"ENSG00000008517",4446,3171,2430,3171,3843
"ENSG00000008710",934,916,859,596,1069
"ENSG00000008735",6,9,10,0,5
"ENSG00000008838",872,981,777,697,772
"ENSG00000008853",148,156,141,129,174
"ENSG00000008869",419,618,589,392,498
"ENSG00000008952",867,1070,1173,698,809
"ENSG00000008988",11288,5199,6979,5020,5944
"ENSG00000009307",4277,6190,5684,3703,4299
"ENSG00000009335",641,774,618,510,526
"ENSG00000009413",159,275,220,173,172
"ENSG00000009694",40,96,83,39,51
"ENSG00000009724",26,51,55,25,45
"ENSG00000009765",0,0,0,0,0
"ENSG00000009780",206,225,203,138,168
"ENSG00000009790",4853,5114,5122,4509,5981
"ENSG00000009830",154,126,116,123,145
"ENSG00000009844",307,426,425,262,287
"ENSG00000009950",1,2,1,0,0
"ENSG00000009954",659,939,906,750,785
"ENSG00000010017",271,407,396,236,302
"ENSG00000010030",22,88,20,26,71
"ENSG00000010072",96,138,143,86,91
"ENSG00000010165",481,507,544,433,441
"ENSG00000010219",100,113,119,65,89
"ENSG00000010244",1948,2379,2388,1505,1672
"ENSG00000010256",1495,2023,1839,1534,1475
"ENSG00000010270",235,306,360,155,233
"ENSG00000010278",351,572,363,258,223
"ENSG00000010282",0,0,2,1,0
"ENSG00000010292",727,1061,1010,867,828
"ENSG00000010295",1380,1894,1583,1359,1606
"ENSG00000010310",48,61,52,63,54
"ENSG00000010318",63,65,47,41,57
"ENSG00000010319",8,6,6,5,18
"ENSG00000010322",2368,2948,2508,2035,3005
"ENSG00000010327",1021,4353,2971,2231,1388
"ENSG00000010361",223,297,271,170,259
"ENSG00000010379",9,2,4,2,5
"ENSG00000010404",2583,4714,3736,2208,2438
"ENSG00000010438",4,1,2,1,2
"ENSG00000010539",299,422,416,205,300
"ENSG00000010610",4288,6823,3921,4833,5011
"ENSG00000010626",69,44,62,34,42
"ENSG00000010671",1074,1801,1623,1284,1282
"ENSG00000010704",92,186,115,70,68
"ENSG00000010803",221,246,195,200,216
"ENSG00000010810",2577,2893,2913,2577,3113
"ENSG00000010818",395,700,503,331,487
"ENSG00000010932",1,3,3,1,0
"ENSG00000011007",338,614,560,417,406
"ENSG00000011009",1449,1532,1497,1039,1239
"ENSG00000011021",247,421,320,258,266
"ENSG00000011028",57,80,145,123,86
"ENSG00000011083",0,0,1,0,0
"ENSG00000011105",31,96,216,63,102
"ENSG00000011114",235,363,304,184,228
"ENSG00000011132",567,495,434,316,566
"ENSG00000011143",125,144,148,118,112
"ENSG00000011198",548,895,1295,479,636
"ENSG00000011201",0,0,1,0,0
"ENSG00000011243",1066,1341,1338,1115,1600
"ENSG00000011258",340,476,470,225,267
"ENSG00000011260",413,458,464,328,428
"ENSG00000011275",1425,1916,1892,1248,1853
"ENSG00000011295",288,285,281,202,190
"ENSG00000011304",2545,2668,2609,1949,2625
"ENSG00000011332",0,1,0,0,4
"ENSG00000011347",0,0,0,0,1
"ENSG00000011376",139,217,189,120,154
"ENSG00000011405",178,310,288,153,187
"ENSG00000011422",1270,2028,1652,938,1261
"ENSG00000011426",2,3,12,1,2
"ENSG00000011451",538,655,531,458,647
"ENSG00000011454",329,490,488,294,335
"ENSG00000011465",0,1,0,0,1
"ENSG00000011478",170,144,161,118,165
"ENSG00000011485",521,414,503,438,470
"ENSG00000011523",278,412,332,225,329
"ENSG00000011566",66,70,82,35,46
"ENSG00000011590",57,41,21,30,88
"ENSG00000011600",10452,15214,12891,8965,10518
"ENSG00000011638",181,154,183,160,150
"ENSG00000011677",0,0,0,0,0
"ENSG00000012048",63,122,101,60,100
"ENSG00000012061",579,668,572,492,545
"ENSG00000012124",1327,937,827,1283,1504
"ENSG00000012171",22,22,8,9,25
"ENSG00000012174",41,63,81,54,38
"ENSG00000012211",132,204,174,88,122
"ENSG00000012223",725,853,566,481,104
"ENSG00000012232",1007,1583,1681,1152,1134
"ENSG00000012504",0,0,0,0,0
"ENSG00000012660",1964,3153,2873,1712,1936
"ENSG00000012779",4293,10705,7642,4054,6805
"ENSG00000012817",2,1664,1739,1138,7
"ENSG00000012822",1902,3243,3434,2259,2809
"ENSG00000012963",316,409,375,307,302
"ENSG00000012983",155,214,243,130,163
"ENSG00000013016",88,209,283,175,240
"ENSG00000013275",732,987,1009,913,969
"ENSG00000013288",970,1723,1444,1097,1662
"ENSG00000013293",0,0,0,0,1
"ENSG00000013297",0,1,3,1,0
"ENSG00000013306",7031,8857,16745,19399,7642
"ENSG00000013364",5527,7748,5762,4548,6902
"ENSG00000013374",1008,1340,1222,1042,1168
"ENSG00000013375",120,132,123,85,95
"ENSG00000013392",63,66,67,43,65
"ENSG00000013441",2660,1954,2736,1087,1564
"ENSG00000013503",73,90,73,84,98
"ENSG00000013523",292,388,376,304,324
"ENSG00000013561",306,348,395,246,265
"ENSG00000013563",191,361,248,259,299
"ENSG00000013573",85,642,352,334,122
"ENSG00000013583",286,345,300,249,221
"ENSG00000013588",0,1,0,0,1
"ENSG00000013619",15,19,11,3,16
"ENSG00000013725",3636,3439,2543,2443,4753
"ENSG00000013810",1616,2499,2658,1823,1932
"ENSG00000014123",251,368,335,193,212
"ENSG00000014138",283,344,280,283,283
"ENSG00000014164",444,845,616,480,765
"ENSG00000014216",2284,3878,3108,2384,2557
"ENSG00000014257",109,257,269,188,121
"ENSG00000014641",873,818,834,661,633
"ENSG00000014824",255,326,248,208,205
"ENSG00000014914",238,518,330,269,226
"ENSG00000014919",406,604,526,462,456
"ENSG00000015133",2085,2392,2817,1795,2499
"ENSG00000015153",142,167,212,106,139
"ENSG00000015171",353,441,461,286,268
"ENSG00000015285",4790,8671,6822,4820,6811
"ENSG00000015413",1,0,0,0,0
"ENSG00000015475",1442,2674,1937,1336,1590
"ENSG00000015479",1951,2282,2285,1354,1621
"ENSG00000015520",3,1,1,0,1
"ENSG00000015532",473,529,530,406,565
"ENSG00000015568",18,24,13,10,14
"ENSG00000015592",0,0,1,0,1
"ENSG00000015676",1275,1187,1193,1066,1086
"ENSG00000016391",5,6,7,2,4
"ENSG00000016402",1,0,0,0,0
"ENSG00000016490",0,0,0,0,0
"ENSG00000016602",1,0,1,0,0
"ENSG00000016864",365,470,454,383,385
"ENSG00000017260",389,546,559,353,407
"ENSG00000017373",4,2,3,4,3
"ENSG00000017427",1,0,1,0,1
"ENSG00000017483",537,742,523,920,352
"ENSG00000017621",18,34,13,19,24
"ENSG00000017797",977,1878,1536,994,1382
"ENSG00000018189",183,232,242,133,169
"ENSG00000018236",0,0,0,0,0
"ENSG00000018280",5524,14055,9555,5852,9295
"ENSG00000018408",4,6,4,2,6
"ENSG00000018510",289,433,372,232,247
"ENSG00000018610",175,246,193,152,167
"ENSG00000018625",0,0,1,1,0
"ENSG00000018699",181,154,142,130,159
"ENSG00000018869",30,34,50,29,18
"ENSG00000019102",37,202,355,104,112
"ENSG00000019144",6,11,7,6,13
"ENSG00000019169",92,503,147,189,102
"ENSG00000019186",0,2,1,4,1
"ENSG00000019485",61,43,58,35,57
"ENSG00000019505",0,0,1,0,0
"ENSG00000019549",0,0,0,0,0
"ENSG00000019582",48213,58020,47759,43505,41956
"ENSG00000019991",39,85,71,49,33
"ENSG00000019995",539,745,793,515,547
"ENSG00000020129",345,447,368,328,406
"ENSG00000020181",20,75,70,45,54
"ENSG00000020219",1,1,0,0,1
"ENSG00000020256",135,99,139,129,120
"ENSG00000020426",31,36,59,45,31
"ENSG00000020577",35,65,77,26,48
"ENSG00000020633",2474,2101,2763,2025,2495
"ENSG00000020922",111,249,239,139,133
"ENSG00000021300",473,406,438,261,434
"ENSG00000021355",2346,4568,3179,2089,2326
"ENSG00000021461",0,0,0,0,1
"ENSG00000021488",4,8,2,1,8
"ENSG00000021574",342,522,471,253,277
"ENSG00000021645",0,1,0,0,0
"ENSG00000021762",475,522,946,490,616
"ENSG00000021776",294,653,569,403,415
"ENSG00000021826",1,3,2,4,3
"ENSG00000021852",1,0,1,0,0
"ENSG00000022267",208,224,374,145,220
"ENSG00000022277",1210,2002,2083,1469,1606
"ENSG00000022556",166,68,185,178,81
"ENSG00000022567",1771,2617,2444,1465,1955
"ENSG00000022840",2799,4853,4292,4185,2996
"ENSG00000022976",278,499,447,327,489
"ENSG00000023041",505,612,625,486,503
"ENSG00000023171",169,248,262,141,232
"ENSG00000023191",2901,3511,3157,2160,2572
"ENSG00000023228",423,761,521,427,404
"ENSG00000023287",385,748,750,300,404
"ENSG00000023318",858,1258,1124,769,927
"ENSG00000023330",471,806,660,513,598
"ENSG00000023445",1171,924,980,591,1011
"ENSG00000023516",439,552,518,309,345
"ENSG00000023572",35,25,38,19,17
"ENSG00000023608",32,26,18,17,17
"ENSG00000023697",182,225,245,147,158
"ENSG00000023734",717,787,767,618,563
"ENSG00000023839",36,71,55,37,44
"ENSG00000023892",4473,4658,4454,3266,5203
"ENSG00000023902",3192,4272,3681,2803,3405
"ENSG00000023909",152,184,149,126,106
"ENSG00000024048",1284,3108,2209,1520,1692
"ENSG00000024422",1,6,7,5,7
"ENSG00000024526",2,2,0,2,0
"ENSG00000024862",503,672,693,404,463
"ENSG00000025039",183,324,279,181,251
"ENSG00000025156",273,204,211,146,171
"ENSG00000025293",591,987,984,507,629
"ENSG00000025423",9,6,4,5,2
"ENSG00000025434",84,119,146,108,113
"ENSG00000025708",3987,5950,6088,2939,4661
"ENSG00000025770",692,745,771,548,712
"ENSG00000025772",301,200,310,287,250
"ENSG00000025796",496,622,581,408,414
"ENSG00000025800",709,1023,922,788,798
"ENSG00000026025",6668,9686,6668,5594,5662
"ENSG00000026036",26,40,48,42,48
"ENSG00000026103",411,767,585,320,339
"ENSG00000026297",2965,4263,3840,2306,5275
"ENSG00000026508",4748,7861,5336,4270,4868
"ENSG00000026559",83,34,30,51,84
"ENSG00000026652",189,177,185,126,194
"ENSG00000026751",597,524,729,703,533
"ENSG00000026950",2914,4159,4399,2578,4222
"ENSG00000027001",69,73,57,56,53
"ENSG00000027075",1340,1308,1388,1049,1413
"ENSG00000027644",0,0,0,0,2
"ENSG00000027697",2454,4366,4016,2148,2726
"ENSG00000027847",408,396,466,323,423
"ENSG00000027869",576,368,461,396,511
"ENSG00000028116",47,81,76,52,55
"ENSG00000028137",9559,18446,14437,10296,12185
"ENSG00000028203",206,269,198,144,144
"ENSG00000028277",1829,2627,2225,1792,2128
"ENSG00000028310",671,760,681,606,718
"ENSG00000028528",1960,2757,2611,1787,1841
"ENSG00000028839",235,260,271,185,180
"ENSG00000029153",6,4,8,2,5
"ENSG00000029363",1390,2066,2065,1124,1361
"ENSG00000029364",612,852,830,561,573
"ENSG00000029534",119,163,221,262,172
"ENSG00000029639",128,114,114,100,91
"ENSG00000029725",540,728,657,500,549
"ENSG00000029993",17,25,11,9,15
"ENSG00000030066",416,603,594,390,467
"ENSG00000030110",600,820,726,932,621
"ENSG00000030304",0,0,0,0,0
"ENSG00000030419",162,216,216,118,163
"ENSG00000030582",9752,15229,12744,8649,8062
"ENSG00000031003",320,538,508,309,388
"ENSG00000031081",114,325,233,207,147
"ENSG00000031544",0,0,0,0,0
"ENSG00000031691",21,23,42,12,4
"ENSG00000031698",1600,2013,1770,1631,1575
"ENSG00000031823",1327,1545,1302,1062,1336
"ENSG00000032219",346,740,689,299,398
"ENSG00000032389",314,289,251,239,237
"ENSG00000032444",1875,2511,1992,1539,1955
"ENSG00000032742",97,108,92,73,77
"ENSG00000033011",195,202,161,148,158
"ENSG00000033030",372,497,564,314,391
"ENSG00000033050",658,761,711,624,627
"ENSG00000033100",1039,1773,1373,998,1247
"ENSG00000033122",24,11,8,8,5
"ENSG00000033170",137,162,157,118,184
"ENSG00000033178",326,416,455,257,335
"ENSG00000033327",1337,3716,2873,1384,2001
"ENSG00000033627",651,1082,897,758,967
"ENSG00000033800",427,940,811,470,566
"ENSG00000033867",247,284,291,144,195
"ENSG00000034053",839,674,929,563,908
"ENSG00000034063",75,78,79,68,89
"ENSG00000034152",2771,4643,3867,2856,3044
"ENSG00000034239",2,2,1,2,3
"ENSG00000034510",15556,12743,13384,9443,10392
"ENSG00000034533",166,220,216,159,192
"ENSG00000034677",425,525,581,301,359
"ENSG00000034693",87,85,79,59,88
"ENSG00000034713",1441,1759,1685,1085,1396
"ENSG00000034971",0,0,0,0,0
"ENSG00000035115",338,331,386,198,355
"ENSG00000035141",292,279,310,250,247
"ENSG00000035403",1140,2589,2819,1798,1975
"ENSG00000035499",7,3,7,10,6
"ENSG00000035664",628,1152,1193,653,979
"ENSG00000035681",628,1012,868,526,765
"ENSG00000035687",421,834,801,401,516
"ENSG00000035720",175,90,103,90,130
"ENSG00000035862",1478,3233,2217,1454,1905
"ENSG00000035928",429,623,606,401,482
"ENSG00000036054",312,424,494,241,305
"ENSG00000036257",854,1414,1256,775,956
"ENSG00000036448",146,17,272,23,46
"ENSG00000036473",0,0,0,0,0
"ENSG00000036530",8,1,19,13,13
"ENSG00000036549",215,295,277,175,186
"ENSG00000036565",6,4,16,7,22
"ENSG00000036672",2,1,2,1,3
"ENSG00000036828",1,1,1,2,4
"ENSG00000037042",99,120,109,56,130
"ENSG00000037241",38,35,30,9,14
"ENSG00000037280",163,84,71,174,129
"ENSG00000037474",959,1078,1333,650,923
"ENSG00000037637",515,695,632,540,581
"ENSG00000037749",275,426,439,244,309
"ENSG00000037757",219,255,227,146,206
"ENSG00000037897",77,90,53,55,62
"ENSG00000037965",0,0,0,0,0
"ENSG00000038002",238,234,228,171,163
"ENSG00000038210",191,218,201,90,133
"ENSG00000038219",815,1984,1793,953,1210
"ENSG00000038274",1911,2038,2210,1423,1486
"ENSG00000038358",672,1151,1023,854,1123
"ENSG00000038382",190,410,302,223,196
"ENSG00000038427",1567,7587,4025,2843,1528
"ENSG00000038532",451,494,459,374,488
"ENSG00000038945",26,65,17,42,25
"ENSG00000039068",4,3,17,7,23
"ENSG00000039123",391,544,534,406,407
"ENSG00000039139",0,0,0,0,0
"ENSG00000039319",326,575,589,214,306
"ENSG00000039523",818,1678,1171,1019,1187
"ENSG00000039537",0,0,0,0,0
"ENSG00000039560",2,0,0,1,2
"ENSG00000039600",2,5,6,1,3
"ENSG00000039650",618,879,798,658,813
"ENSG00000039987",0,2,0,0,0
"ENSG00000040199",81,104,106,73,71
"ENSG00000040275",70,68,73,30,44
"ENSG00000040341",139,229,198,132,131
"ENSG00000040487",151,231,237,153,168
"ENSG00000040531",204,151,280,184,234
"ENSG00000040608",69,60,43,16,48
"ENSG00000040633",799,1037,977,683,708
"ENSG00000040933",1612,1900,1993,1272,1471
"ENSG00000041353",29,70,141,46,64
"ENSG00000041357",601,632,753,507,456
"ENSG00000041515",1,12,0,0,9
"ENSG00000041802",344,468,467,486,346
"ENSG00000041880",151,145,190,126,103
"ENSG00000041982",2,1,7,2,3
"ENSG00000041988",280,249,255,236,253
"ENSG00000042062",9,41,27,41,33
"ENSG00000042088",387,297,312,225,304
"ENSG00000042286",71,138,71,72,88
"ENSG00000042304",0,0,0,0,0
"ENSG00000042317",16,18,26,18,11
"ENSG00000042429",367,490,458,307,395
"ENSG00000042445",362,396,460,328,324
"ENSG00000042493",1823,3295,2638,1754,1555
"ENSG00000042753",784,856,880,724,671
"ENSG00000042781",0,0,0,2,0
"ENSG00000042813",0,0,0,0,0
"ENSG00000042832",18,44,11,7,19
"ENSG00000042980",230,230,293,290,440
"ENSG00000043039",2,0,0,1,0
"ENSG00000043093",207,390,448,224,232
"ENSG00000043143",1467,1712,1697,1318,1638
"ENSG00000043462",2678,4850,3900,2831,3293
"ENSG00000043514",220,258,188,182,148
"ENSG00000043591",8,0,3,2,0
"ENSG00000044012",0,1,0,0,0
"ENSG00000044090",245,445,331,351,439
"ENSG00000044115",633,1869,1364,1211,1189
"ENSG00000044446",450,911,799,614,831
"ENSG00000044459",15,52,33,25,18
"ENSG00000044524",0,0,0,0,0
"ENSG00000044574",2578,4010,3035,2594,2506
"ENSG00000046604",0,5,1,1,0
"ENSG00000046647",197,186,168,138,160
"ENSG00000046651",659,612,434,414,671
"ENSG00000046653",45,31,57,16,35
"ENSG00000046774",0,0,0,0,0
"ENSG00000046889",0,0,0,0,0
"ENSG00000047056",791,1056,971,715,789
"ENSG00000047188",390,476,390,252,278
"ENSG00000047230",93,87,78,76,68
"ENSG00000047249",373,475,460,329,368
"ENSG00000047315",909,1574,1535,992,1014
"ENSG00000047346",324,419,446,246,303
"ENSG00000047365",322,436,496,299,368
"ENSG00000047410",1037,2343,1787,1268,1554
"ENSG00000047457",4,3,0,1,2
"ENSG00000047578",417,622,524,360,471
"ENSG00000047579",258,313,245,220,258
"ENSG00000047597",28,71,117,52,46
"ENSG00000047617",0,2,1,0,0
"ENSG00000047621",148,165,143,123,108
"ENSG00000047634",147,114,177,61,85
"ENSG00000047644",1248,2163,1641,1088,1741
"ENSG00000047648",6,30,46,24,12
"ENSG00000047662",27,27,14,10,25
"ENSG00000047849",634,987,721,757,879
"ENSG00000047932",400,410,417,268,287
"ENSG00000047936",0,0,0,0,0
"ENSG00000048028",295,280,422,302,256
"ENSG00000048052",186,325,256,152,165
"ENSG00000048140",555,517,550,484,600
"ENSG00000048162",122,105,130,70,100
"ENSG00000048342",17,34,25,14,33
"ENSG00000048392",375,747,658,285,327
"ENSG00000048405",276,383,368,248,266
"ENSG00000048462",58,32,16,14,29
"ENSG00000048471",399,639,578,399,438
"ENSG00000048540",0,0,1,0,0
"ENSG00000048544",234,317,296,243,247
"ENSG00000048545",0,1,1,0,1
"ENSG00000048649",330,564,553,311,382
"ENSG00000048707",601,1005,814,581,736
"ENSG00000048740",4180,6745,5814,3318,4943
"ENSG00000048828",1626,2983,2404,1447,1675
"ENSG00000048991",238,367,336,255,291
"ENSG00000049089",295,354,371,262,466
"ENSG00000049130",2,0,2,0,0
"ENSG00000049167",53,34,44,18,22
"ENSG00000049192",9,16,16,5,7
"ENSG00000049239",926,1660,1390,970,960
"ENSG00000049245",939,1537,1486,1076,1097
"ENSG00000049246",51,63,94,54,43
"ENSG00000049247",13,7,0,6,2
"ENSG00000049249",15,54,37,32,46
"ENSG00000049283",0,1,0,0,0
"ENSG00000049319",0,0,0,0,3
"ENSG00000049323",6,43,108,27,26
"ENSG00000049449",110,125,127,122,76
"ENSG00000049540",0,0,0,1,0
"ENSG00000049541",262,350,339,243,281
"ENSG00000049618",539,901,757,577,631
"ENSG00000049656",1108,1306,1206,880,1093
"ENSG00000049759",40,51,47,55,32
"ENSG00000049768",79,163,73,95,233
